,Dataset Name,Cross Validation,Algorithm Name,Accuracy,TPR,FPR,Precision,AUC,AUPRC,Training Time,Inference Time
0,Socmob,1,Snapshot Ensemble,0.2672413793103448,0.0555555555555555,0.0,1.0,0.9111111111111112,0.9082652299639444,1002.7167348861694,312.36604575453134
1,Socmob,1,RandomForest,0.2672413793103448,0.0555555555555555,0.0,1.0,0.5277777777777778,0.763888888888889,5.435266017913818,4.083203858342665
2,Socmob,2,Snapshot Ensemble,0.9741379310344828,0.9888888888888888,0.0769230769230769,0.978021978021978,0.9987179487179488,0.9987839648814828,946.4709815979004,288.7202747936907
3,Socmob,2,RandomForest,0.9655172413793104,0.9777777777777776,0.0769230769230769,0.9777777777777776,0.9504273504273504,0.957977669728075,5.706248760223389,3.702295237574084
4,Socmob,3,Snapshot Ensemble,0.9396551724137931,1.0,0.2692307692307692,0.9278350515463918,0.9726495726495726,0.9741504450656268,819.8633365631104,281.4159948250343
5,Socmob,3,RandomForest,0.8879310344827587,0.9444444444444444,0.3076923076923077,0.913978494623656,0.8183760683760685,0.8632442169131591,4.697622299194336,3.072362521599079
6,Socmob,4,Snapshot Ensemble,0.956896551724138,0.9666666666666668,0.0769230769230769,0.9775280898876404,0.9854700854700854,0.9885682052802852,642.9309728145599,260.94132250752943
7,Socmob,4,RandomForest,0.9396551724137931,0.9444444444444444,0.0769230769230769,0.9770114942528736,0.9337606837606838,0.9484542073454209,3.9859137535095215,2.478523501034441
8,Socmob,5,Snapshot Ensemble,0.9741379310344828,1.0,0.1153846153846153,0.967741935483871,1.0,1.0,572.6627502441406,383.06633357344
9,Socmob,5,RandomForest,0.9827586206896552,1.0,0.0769230769230769,0.9782608695652174,0.9615384615384616,0.9642857142857144,5.081522703170776,3.333132842491413
10,Socmob,6,Snapshot Ensemble,0.9827586206896552,1.0,0.0769230769230769,0.9782608695652174,0.997863247863248,0.997933572783194,564.0284399986267,174.78710824045643
11,Socmob,6,RandomForest,0.9741379310344828,0.9888888888888888,0.0769230769230769,0.978021978021978,0.955982905982906,0.961135614363361,2.9879934787750244,1.9473166301332676
12,Socmob,7,Snapshot Ensemble,0.9304347826086956,0.9666666666666668,0.2,0.9456521739130436,0.9791111111111112,0.9869030330139028,571.7704846858978,129.80820199717644
13,Socmob,7,RandomForest,0.9043478260869564,0.9333333333333332,0.2,0.9438202247191012,0.8666666666666667,0.8950980392156862,2.030240535736084,1.3371882231339165
14,Socmob,8,Snapshot Ensemble,0.982608695652174,1.0,0.08,0.9782608695652174,1.0,1.0,393.4177420139313,156.46807421808657
15,Socmob,8,RandomForest,0.9739130434782608,1.0,0.12,0.967741935483871,0.94,0.9464285714285714,1.985318660736084,1.1907639710799507
16,Socmob,9,Snapshot Ensemble,0.8347826086956521,1.0,0.76,0.8256880733944955,1.0,1.0,241.26223134994507,87.32336293096127
17,Socmob,9,RandomForest,0.8608695652173913,1.0,0.64,0.8490566037735849,0.6799999999999999,0.8048780487804876,1.430710792541504,1.0907857314400051
18,Socmob,10,Snapshot Ensemble,0.7913043478260869,1.0,0.96,0.7894736842105263,0.9953333333333334,0.9958247344940844,104.30764150619508,24.317293581755266
19,Socmob,10,RandomForest,0.808695652173913,1.0,0.88,0.8035714285714286,0.5599999999999999,0.7659574468085104,0.4445157051086426,0.0974655151367187
