,Dataset Name,Metric,p-value,Reject H0,Less
0,Meta,Accuracy,0.998,0,1
1,Meta,Accuracy,0.003,1,0
2,Meta,TPR,0.994,0,1
3,Meta,TPR,0.008,1,0
4,Meta,FPR,0.981,0,1
5,Meta,FPR,0.023,1,0
6,Meta,Precision,0.703,0,1
7,Meta,Precision,0.324,0,0
8,Meta,AUC,0.984,0,1
9,Meta,AUC,0.019,1,0
10,Meta,AUPRC,0.93,0,1
11,Meta,AUPRC,0.081,0,0
12,Meta,Training Time,1.0,0,1
13,Meta,Training Time,0.0,1,0
14,Meta,Inference Time,1.0,0,1
15,Meta,Inference Time,0.0,1,0
