,Dataset Name,Cross Validation,Algorithm Name,Accuracy,TPR,FPR,Precision,AUC,AUPRC,Training Time,Inference Time
0,Veteran,1,Snapshot Ensemble,0.7142857142857143,1.0,1.0,0.7142857142857143,0.475,0.5480623842783552,94.40393328666688,250.26675633021765
1,Veteran,1,RandomForest,0.5,0.5,0.5,0.7142857142857143,0.5,0.625,0.0507497787475585,0.3323895590645926
2,Veteran,2,Snapshot Ensemble,0.7142857142857143,1.0,1.0,0.7142857142857143,0.4124999999999999,0.4741600075932039,82.13625884056091,455.7242734091623
3,Veteran,2,RandomForest,0.5714285714285714,0.7,0.75,0.7,0.475,0.6663793103448277,0.0024864673614501,0.0856944492885044
4,Veteran,3,Snapshot Ensemble,0.7142857142857143,1.0,1.0,0.7142857142857143,0.5874999999999999,0.736701630791848,87.0728862285614,924.2970262254988
5,Veteran,3,RandomForest,0.7142857142857143,1.0,1.0,0.7142857142857143,0.5,0.75,0.2569577693939209,1.4439310346330916
6,Veteran,4,Snapshot Ensemble,0.7142857142857143,1.0,1.0,0.7142857142857143,0.55,0.5426719399744984,101.02615451812744,238.9106069292341
7,Veteran,4,RandomForest,0.5,0.6,0.75,0.6666666666666666,0.425,0.6222222222222222,0.0368006229400634,0.7635014397757394
8,Veteran,5,Snapshot Ensemble,0.6428571428571429,1.0,1.0,0.6428571428571429,0.5,0.6091068159566612,75.67917966842651,842.6796027592251
9,Veteran,5,RandomForest,0.4285714285714285,0.2222222222222222,0.2,0.6666666666666666,0.5111111111111112,0.5687134502923976,0.0185236930847167,0.1419442040579659
10,Veteran,6,Snapshot Ensemble,0.6428571428571429,1.0,1.0,0.6428571428571429,0.8111111111111111,0.8654065824083732,58.30687618255615,460.50333976745605
11,Veteran,6,RandomForest,0.7142857142857143,0.5555555555555556,0.0,1.0,0.7777777777777778,0.8888888888888888,0.0334002971649169,1.7603635787963867
12,Veteran,7,Snapshot Ensemble,0.7142857142857143,1.0,0.8,0.6923076923076923,0.6333333333333334,0.7172877850851654,86.98333883285522,501.0587317602975
13,Veteran,7,RandomForest,0.7142857142857143,1.0,0.8,0.6923076923076923,0.6000000000000001,0.7777777777777778,0.2830092906951904,1.9986799785069056
14,Veteran,8,Snapshot Ensemble,0.8461538461538461,1.0,0.5,0.8181818181818182,0.8611111111111112,0.8747149228898597,51.91081190109253,285.1800184983473
15,Veteran,8,RandomForest,0.8461538461538461,0.8888888888888888,0.25,0.8888888888888888,0.8194444444444444,0.8624661246612466,0.6387810707092285,3.787315808809721
16,Veteran,9,Snapshot Ensemble,0.6923076923076923,1.0,1.0,0.6923076923076923,0.7361111111111112,0.7664957412688811,27.748544931411743,78.94035486074594
17,Veteran,9,RandomForest,0.5384615384615384,0.5555555555555556,0.5,0.7142857142857143,0.5277777777777778,0.6520467836257311,0.0017304420471191,0.0653817103459284
18,Veteran,10,Snapshot Ensemble,0.6923076923076923,1.0,1.0,0.6923076923076923,0.8611111111111112,0.8731719776967884,35.18682909011841,557.5707142169658
19,Veteran,10,RandomForest,0.3846153846153846,0.3333333333333333,0.5,0.6,0.4166666666666666,0.5333333333333333,0.0940067768096923,0.1206764808067908
