,Dataset Name,Cross Validation,Algorithm Name,Accuracy,TPR,FPR,Precision,AUC,AUPRC,Training Time,Inference Time
0,Plasma Retinol,1,Snapshot Ensemble,0.5625,1.0,1.0,0.5625,0.4642857142857143,0.25,847.8712666034698,2020.420268177986
1,Plasma Retinol,1,RandomForest,0.53125,0.6111111111111112,0.5714285714285714,0.5789473684210527,0.5198412698412698,0.6611670395227444,6.234389781951904,10.868847370147703
2,Plasma Retinol,2,Snapshot Ensemble,0.5625,1.0,1.0,0.5625,0.3928571428571428,0.25,594.9973473548889,1685.347929596901
3,Plasma Retinol,2,RandomForest,0.59375,0.6666666666666666,0.5,0.631578947368421,0.5833333333333333,0.7023809523809526,4.876073122024536,12.461446225643158
4,Plasma Retinol,3,Snapshot Ensemble,0.5625,1.0,1.0,0.5625,0.5277777777777778,0.7638888888888888,530.0077559947968,1946.6779977083208
5,Plasma Retinol,3,RandomForest,0.5625,0.6111111111111112,0.5,0.6111111111111112,0.5555555555555555,0.6777777777777779,4.74760890007019,10.26918739080429
6,Plasma Retinol,4,Snapshot Ensemble,0.59375,1.0,1.0,0.59375,0.534412955465587,0.5631339483766887,458.74278569221497,2041.233941912651
7,Plasma Retinol,4,RandomForest,0.46875,0.6842105263157895,0.8461538461538461,0.5416666666666666,0.4190283400809717,0.644597605123921,5.340734481811523,14.554761350154877
8,Plasma Retinol,5,Snapshot Ensemble,0.59375,1.0,1.0,0.59375,0.5101214574898786,0.5187499999999999,413.00513434410095,1455.2050605416298
9,Plasma Retinol,5,RandomForest,0.6875,0.7894736842105263,0.4615384615384615,0.7142857142857143,0.6639676113360324,0.7629024016351558,3.601229429244995,8.897557854652405
10,Plasma Retinol,6,Snapshot Ensemble,0.5806451612903226,1.0,1.0,0.5806451612903226,0.6111111111111112,0.8055555555555556,379.2653238773346,1535.6016543603712
11,Plasma Retinol,6,RandomForest,0.6129032258064516,0.7222222222222222,0.5384615384615384,0.65,0.5918803418803418,0.7169962335216572,3.8394832611083984,10.220827594880134
12,Plasma Retinol,7,Snapshot Ensemble,0.5806451612903226,1.0,1.0,0.5806451612903226,0.5,0.75,342.0136830806732,1840.9182179358695
13,Plasma Retinol,7,RandomForest,0.6774193548387096,0.9444444444444444,0.6923076923076923,0.6538461538461539,0.6260683760683761,0.7746228604583695,3.610292911529541,7.870158841533046
14,Plasma Retinol,8,Snapshot Ensemble,0.5806451612903226,1.0,1.0,0.5806451612903226,0.5,0.75,300.88453698158264,1579.421920161093
15,Plasma Retinol,8,RandomForest,0.7096774193548387,1.0,0.6923076923076923,0.6666666666666666,0.6538461538461537,0.7954545454545454,2.8004684448242188,5.239102148240613
16,Plasma Retinol,9,Snapshot Ensemble,0.5806451612903226,1.0,1.0,0.5806451612903226,0.376068376068376,0.3864246693702357,219.1121802330017,700.3044005363219
17,Plasma Retinol,9,RandomForest,0.4516129032258064,0.7222222222222222,0.9230769230769232,0.52,0.3995726495726496,0.6500360750360751,1.1493117809295654,2.589541096841135
18,Plasma Retinol,10,Snapshot Ensemble,0.5806451612903226,1.0,1.0,0.5806451612903226,0.4465811965811966,0.3687641723356009,187.3189685344696,462.9648270145539
19,Plasma Retinol,10,RandomForest,0.5483870967741935,0.6666666666666666,0.6153846153846154,0.6,0.5256410256410257,0.6766666666666666,1.1751222610473633,2.788797501594789
