,Dataset Name,Metric,p-value,Reject H0,Less
0,Cloud,Accuracy,1.0,0,1
1,Cloud,Accuracy,0.0,1,0
2,Cloud,TPR,0.184,0,1
3,Cloud,TPR,0.864,0,0
4,Cloud,FPR,0.0,1,1
5,Cloud,FPR,1.0,0,0
6,Cloud,Precision,0.184,0,1
7,Cloud,Precision,0.864,0,0
8,Cloud,AUC,0.935,0,1
9,Cloud,AUC,0.075,0,0
10,Cloud,AUPRC,0.996,0,1
11,Cloud,AUPRC,0.006,1,0
12,Cloud,Training Time,1.0,0,1
13,Cloud,Training Time,0.0,1,0
14,Cloud,Inference Time,1.0,0,1
15,Cloud,Inference Time,0.0,1,0
