,Dataset Name,Cross Validation,Algorithm Name,Accuracy,TPR,FPR,Precision,AUC,AUPRC,Training Time,Inference Time
0,Cloud,1,Snapshot Ensemble,0.7272727272727273,0.0,0.0,0.0,0.6666666666666666,0.5180375180375181,228.525995016098,4255.177519538186
1,Cloud,1,RandomForest,0.5454545454545454,0.0,0.25,0.0,0.375,0.25,5.489732027053833,43.727224523370914
2,Cloud,2,Snapshot Ensemble,0.7272727272727273,0.0,0.0,0.0,0.5833333333333333,0.4717024910573298,169.665433883667,3127.992738376964
3,Cloud,2,RandomForest,0.5454545454545454,0.0,0.25,0.0,0.375,0.25,4.682910680770874,36.74860434098677
4,Cloud,3,Snapshot Ensemble,0.7272727272727273,0.0,0.0,0.0,0.25,0.3519635343618513,161.05427193641663,3082.951198924672
5,Cloud,3,RandomForest,0.5454545454545454,0.0,0.25,0.0,0.375,0.25,4.235555648803711,41.031599044799805
6,Cloud,4,Snapshot Ensemble,0.7272727272727273,0.0,0.0,0.0,0.125,0.3193311348483762,161.06038451194763,3993.208668448708
7,Cloud,4,RandomForest,0.6363636363636364,0.0,0.125,0.0,0.4375,0.25,4.552669048309326,27.161468159068715
8,Cloud,5,Snapshot Ensemble,0.7272727272727273,0.0,0.0,0.0,0.4166666666666666,0.3960933602052321,229.1514756679535,4531.230016188188
9,Cloud,5,RandomForest,0.4545454545454545,0.0,0.375,0.0,0.3125,0.25,3.221672534942627,24.113568392666902
10,Cloud,6,Snapshot Ensemble,0.7272727272727273,0.0,0.0,0.0,0.5416666666666666,0.4540056022408963,162.62173581123352,3580.430182543668
11,Cloud,6,RandomForest,0.6363636363636364,0.3333333333333333,0.25,0.3333333333333333,0.5416666666666666,0.6190476190476192,3.763498067855835,39.72016681324352
12,Cloud,7,Snapshot Ensemble,0.6363636363636364,0.0,0.0,0.0,0.5357142857142857,0.6332294957294957,162.7594063282013,3442.559545690363
13,Cloud,7,RandomForest,0.3636363636363636,0.0,0.4285714285714285,0.0,0.2857142857142857,0.25,3.846537590026856,27.21292322332209
14,Cloud,8,Snapshot Ensemble,0.6363636363636364,0.0,0.0,0.0,0.5357142857142857,0.6567946673209831,162.9516725540161,3511.9652314619584
15,Cloud,8,RandomForest,0.6363636363636364,0.0,0.0,0.0,0.5,0.75,4.604375123977661,43.9364259893244
16,Cloud,9,Snapshot Ensemble,0.7,0.0,0.0,0.0,0.7142857142857143,0.7258152173913044,163.04604411125183,2301.497364044189
17,Cloud,9,RandomForest,0.5,0.0,0.2857142857142857,0.0,0.3571428571428571,0.25,3.399768590927124,33.12356472015381
18,Cloud,10,Snapshot Ensemble,0.7,0.0,0.0,0.0,0.3809523809523809,0.3840887321490769,238.40718054771423,2947.022747993469
19,Cloud,10,RandomForest,0.6,0.0,0.1428571428571428,0.0,0.4285714285714286,0.25,2.805530071258545,22.21226692199707
